Index,Topic,Question,Answer,Distractor1,Distractor2,Distractor3
1925,Astronomy,What is the name of the brightest star in the night sky?,Sirius,Canopus,Vega,Betelgeuse
2411,Biology,What is the name for the long| coiled structure that stores genetic information in cells?,DNA,RNA,Protein,Lipid
2321,Chemistry,Which of the following is a strong acid?,Hydrochloric acid,Vinegar,Lemon juice,Baking soda
2492,Astronomy,What is the name of the second planet from the sun?,Venus,Mercury,Earth,Mars
1764,Biology,What is the name for the process by which chromosomes are copied?,Replication,Transcription,Translation,Mitosis
1444,Physics,What is the unit for measuring power?,Watt,Joule,Ampere,Volt
2743,Biology,Which process involves the conversion of nitrogen into a usable form by plants?,Nitrogen Fixation,Photosynthesis,Cellular Respiration,Fermentation
2686,Geology,What type of volcano is broad and flat| with gently sloping sides?,Shield,Cinder cone,Composite,Caldera
891,Physics,What is Newton's Third Law?,"For every action, there is an equal and opposite reaction",The force applied equals the mass times the acceleration,An object in motion will stay in motion unless acted upon by a force,Acceleration is directly proportional to the net force acting on an object and inversely proportional to its mass
916,Biology,What is the name of the long| coiled structures that carry genes?,DNA,RNA,Ribosomes,Lysosomes
1372,Biology,What is the name for the pigment responsible for giving skin its color?,Melanin,Hemoglobin,Chlorophyll,Keratin
527,Physics,What is the rate at which work is done called?,Power,Energy,Force,Momentum
953,Biology,What is the name for the soft tissue found inside bones that produces red and white blood cells?,Bone marrow,Cartilage,Ligament,Tendon
1004,Geology,What is the study of the physical properties of rocks and minerals?,Mineralogy,Geophysics,Petrology,Sedimentology
392,Physics,What is the unit of resistance in an electric circuit?,Ohm,Ampere,Volt,Watt
914,Chemistry,What is the formula for calculating pH?,-log[H+],-log[OH-],[H+]/[OH-],[OH-]/[H+]
1597,Geology,What is the process by which sediments are compacted and cemented together?,Lithification,Erosion,Weathering,Metamorphism
674,Chemistry,What is the bond formed between atoms when they share electrons?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond
352,Zoology,What is the name for the process by which animals produce offspring?,Reproduction,Metabolism,Respiration,Digestion
3249,Anatomy,What is the part of the eye that controls how much light enters?,Pupil,Iris,Lens,Retina
606,Astronomy,What causes the change of seasons on Earth?,The tilt of the Earth's axis,The shape of the Earth's orbit around the sun,The Earth's distance from the sun,The rotation of the Earth on its axis
1408,Biology,What is the function of the vacuole?,Storage,Energy production,To synthesize proteins,To store DNA
2646,Physics,What is the bending of a wave as it passes from one medium to another called?,Refraction,Reflection,Interference,Diffraction
148,Anatomy,What is the name for the upper arm bone?,Humerus,Radius,Ulna,Femur
123,Zoology,What is the name for the study of fish?,Ichthyology,Herpetology,Ornithology,Entomology
223,Biology,Which of these is not a macromolecule?,Lipid,Acid,Protein,Carbohydrate
2264,Biology,Which system in the body is responsible for removing waste and excess water?,Urinary,Circulatory,Respiratory,Nervous
2346,Chemistry,What is the chemical formula for hydrogen peroxide?,H2O2,CO2,CH4,N2
1652,Meteorology,What is the name given to a disturbance in the atmosphere that moves across the Earth's surface and causes weather changes?,Front,Tropical cyclone,Cold wave,Heat wave
2546,Physics,What is the measure of an object's motion| calculated by dividing the distance traveled by the time it takes to travel it?,Speed,Force,Acceleration,Momentum
2371,Physics,What type of energy is produced by the vibration of matter| such as air molecules?,Sound energy,Mechanical energy,Thermal energy,Radiant energy
2540,Physics,What is the unit of electric current?,Ampere,Volt,Watt,Ohm
1071,Physics,What is the definition of momentum?,Mass times velocity,Force times velocity,Displacement over time,Energy in a given direction
1141,Physics,What type of force causes objects to float in water?,Buoyant force,Electromagnetic force,Weak force,Strong force
3170,Physics,Which of the following is a measure of how much force is applied per unit area?,Pressure,Temperature,Volume,Density
822,Chemistry,What is the chemical formula for calcium carbonate?,CaCO3,CO2,NaCl,H2O
1140,Physics,What is the equation for calculating acceleration?,a=(Vf - Vi)/t,a=F/m,a=P/t,a=Wt
3193,Biology,What is the process by which DNA makes a copy of itself?,Replication,Transcription,Translation,Mutation
389,Chemistry,What is the formula for sulfur dioxide?,SO3,S2O3, SO2,H2SO4
485,Biology,What is the process of cells dividing called?,Mitosis,Meiosis,Replication,Fertilization
2363,Chemistry,What type of reaction is the burning of gasoline in an engine?,Combustion,Synthesis,Decomposition,Single replacement
3296,Biology,What is the function of a neuron?,To produce hormones,To protect the brain, To transmit electrical signals,To contract muscle tissue
1253,Biology,Which of the following is not a component of DNA?,Lipid,Phosphate,Deoxyribose,Nitrogenous Base
269,Physics,What is the name of the law that states that every action has an equal and opposite reaction?,Newton's third law of motion,Newton's first law of motion,Newton's second law of motion,Law of conservation of momentum
11,Astronomy,What is the name of the largest volcano on Mars?,Olympus Mons,Mount Everest,Mount Kilimanjaro,Mount Rainier
1872,Biology,What is the study of life called?,Biology,Geology,Physics,Chemistry
1276,Meteorology,What is the name for the boundary between two air masses?,Front,Cold front,Warm front,Occluded front
424,Chemistry,What is the name of the process by which a liquid turns into a gas?,Evaporation,Condensation,Sublimation,Deposition
409,Chemistry,What is the atomic number for helium?,2,3,11,15
1273,Earth Science,What is the largest layer in the Earth's atmosphere?,Stratosphere,Troposphere,Mesosphere,Thermosphere
2341,Chemistry,What is the name of the particle that carries a positive charge?,Proton,Electron,Neutron,Photon
2131,Chemistry,Which element has the symbol Pb?,Lead,Lithium,Beryllium,Copper
2829,Geology,What type of rock is formed from compressed sediment?,Sedimentary,Metamorphic,Igneous,Basalt
3225,Physics,What is the name for the energy of motion?,Kinetic energy,Potential energy,Thermal energy,Electrical energy
1868,Biology,What is the process by which proteins are broken down into amino acids in the body?,Protein hydrolysis,Protein synthesis,Protein denaturation,Protein folding
159,Biology,What is the process by which cells divide into two identical daughter cells?,Mitosis,Meiosis,Fertilization,Differentiation
2548,Biology,Which part of the human brain is responsible for regulating basic autonomic functions such as breathing and heart rate?,Medulla oblongata,Cerebrum,Cerebellum,Hypothalamus
1500,Physics,What is the formula for electric energy?,Electric Energy = Voltage x Charge,Electric Energy = Power x Time,Electric Energy = Work / Voltage,Electric Energy = Momentum / Time
927,Physics,What is the name for the force that opposes motion between two surfaces in contact?,Friction,Gravity,Magnetic force,Electrical force
1621,Biology,What is the name of the process by which plants release water through tiny pores in their leaves?,Transpiration,Photosynthesis,Cellular respiration,Germination
832,Physics,What is the name for the quantity of matter in an object?,Mass,Weight,Density,Volume
1251,Earth Science,What is the name of the supercontinent that existed millions of years ago?,Pangaea,Laurasia,Gondwana,Eurasia
279,Chemistry,What is the molecular weight of carbon dioxide?,44 g/mol,12 g/mol,32 g/mol,28 g/mol
2568,Geology,What type of rock is formed from existing rock that undergoes heat and pressure?,Metamorphic,Sedimentary,Igneous,Mineral
1959,Geology,What type of rock is formed from the weathering and erosion of other rocks?,Sedimentary,Igneous,Metamorphic,None of the above
2338,Biology,What is the name of the structure that connects bones to muscles?,Tendon,Ligament,Cartilage,Bone Marrow
1280,Chemistry,What is the most abundant gas in the earth's atmosphere?,Nitrogen,Oxygen,Carbon dioxide,Argon
1904,Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NaCl,C6H12O6
729,Biology,Which system is responsible for breaking down food?,Digestive System,Circulatory System,Respiratory System,Endocrine System
592,Biology,What is the process by which cells convert food into usable energy?,Cellular respiration,Fermentation,Anaerobic respiration,Photosynthesis
814,Biology,What part of the respiratory system are tiny air sacs where gas exchange takes place?,Alveoli,Bronchi,Trachea,Larynx
25,Biology,What is the name of the innermost layer of the skin?,Subcutis,Dermis,Epidermis,Stratum Corneum
2878,Biology,Which of the following is not part of the digestive system?,Kidney,Stomach,Intestines,Mouth
1234,Chemistry,Which gas is known as laughing gas?,Nitrous Oxide,Carbon Dioxide,Hydrogen,Oxygen
306,Physics,What is the first law of motion?,"An object at rest will stay at rest, and an object in motion will stay in motion with a constant velocity, unless acted upon by a net external force",Force equals mass times acceleration,"For every action, there is an equal and opposite reaction",None of the above
1266,Physics,What type of force is responsible for the gravitational attraction between objects?,Gravity,Electromagnetic force,Weak force,Strong force
1523,Biology,What is the process of breaking down glucose called?,Cellular respiration,Photosynthesis,Fermentation,Digestion
2383,Physics,What is the formula used to calculate force?,F=ma,E=mc²,P=mv,W=Fd
2682,Earth Science,What is the process by which sediment is moved from one location to another?,Erosion,Weathering,Deposition,Compaction
754,Chemistry,What is the element most commonly found in organic molecules?,Carbon,Nitrogen,Oxygen,Hydrogen
1252,Biology,What is the process by which a cell divides into two new cells?,Mitosis,Meiosis,Fertilization,Apoptosis
880,Chemistry,Which type of chemical bond involves the transfer of electrons?,Ionic,Covalent,Hydrogen,Van der Waals
2709,Chemistry,What is the chemical formula for ammonia?,NH3,CO2,NaCl,H2O
1183,Earth Science,What type of cloud is tall and cylindrical| often associated with thunderstorms?,Cumulonimbus,Cirrus,Stratus,Cumulus
3041,Chemistry,What is the process by which a solid turns into a gas without going through the liquid phase?,Sublimation,Vaporization,Deposition,Condensation
2,Biology,What is the name for the smallest particle of an element?,Atom,Molecule,Ion,Electron
428,Biology,What is the process of turning RNA into a protein called?,Translation,Transcription,Replication,Recombination
2402,Chemistry,What element has the symbol Hg?,Mercury,Gold,Iron,Copper
2981,Biology,What is the science of classifying and naming organisms?,Taxonomy,Biology,Ecology,Genetics
2644,Biology,Which organ produces insulin in the body?,Pancreas,Liver,Kidney,Stomach
2736,Earth Science,What is the layer of Earth's atmosphere that contains the ozone layer?,Stratosphere,Troposphere,Mesosphere,Thermosphere
952,Geology,Which is the hardest mineral on the Mohs hardness scale?,Diamond,Quartz,Topaz,Corundum
1784,Geology,What is the process by which rocks change due to heat and pressure?,Metamorphism,Erosion,Weathering,Deposition
