Index,Topic,Question,Answer,Distractor1,Distractor2,Distractor3,Topic Relevance,Correctness,Difficulty,Clarity,Distractor Relevance
3249,Anatomy,What is the part of the eye that controls how much light enters?,Pupil,Iris,Lens,Retina,6,6,5,5,6
2981,Biology,What is the science of classifying and naming organisms?,Taxonomy,Biology,Ecology,Genetics,6,6,5,5,6
916,Biology,What is the name of the long| coiled structures that carry genes?,DNA,RNA,Ribosomes,Lysosomes,6,6,5,5,6
674,Chemistry,What is the bond formed between atoms when they share electrons?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,6,6,5,5,6
2411,Biology,What is the name for the long| coiled structure that stores genetic information in cells?,DNA,RNA,Protein,Lipid,6,6,5,5,6
1904,Chemistry,What is the chemical formula for carbon dioxide?,CO2,H2O,NaCl,C6H12O6,6,6,5,5,6
2785,Physics,What is the acceleration due to gravity on Earth's surface?,9.8 m/s^2,1 m/s^2,0.1 m/s^2,100 m/s^2,6,6,5,5,6
527,Physics,What is the rate at which work is done called?,Power,Energy,Force,Momentum,6,6,5,5,6
352,Zoology,What is the name for the process by which animals produce offspring?,Reproduction,Metabolism,Respiration,Digestion,6,6,5,5,6
1846,Physics,What type of simple machine is a seesaw?,Lever,Pulley,Wheel & Axle,Inclined Plane,6,6,5,5,6
1276,Meteorology,What is the name for the boundary between two air masses?,Front,Cold front,Warm front,Occluded front,6,6,5,5,6
1500,Physics,What is the formula for electric energy?,Electric Energy = Voltage x Charge,Electric Energy = Power x Time,Electric Energy = Work / Voltage,Electric Energy = Momentum / Time,6,6,5,5,6
628,Astronomy,What is the name of the planet known for its ring system?,Saturn,Jupiter,Uranus,Neptune,6,6,5,5,6
11,Astronomy,What is the name of the largest volcano on Mars?,Olympus Mons,Mount Everest,Mount Kilimanjaro,Mount Rainier,6,6,5,5,6
2492,Astronomy,What is the name of the second planet from the sun?,Venus,Mercury,Earth,Mars,6,6,5,5,6
2682,Earth Science,What is the process by which sediment is moved from one location to another?,Erosion,Weathering,Deposition,Compaction,6,6,5,5,6
1597,Geology,What is the process by which sediments are compacted and cemented together?,Lithification,Erosion,Weathering,Metamorphism,6,6,5,5,6
485,Biology,What is the process of cells dividing called?,Mitosis,Meiosis,Replication,Fertilization,6,6,5,5,6
2081,Earth Science,What is the name for the process by which rocks are chemically broken down into new minerals?,Chemical weathering,Mechanical weathering,Erosion,Deposition,6,6,5,5,6
2909,Chemistry,What is the atomic number of hydrogen?,1,2,3,4,6,6,5,5,6
3225,Physics,What is the name for the energy of motion?,Kinetic energy,Potential energy,Thermal energy,Electrical energy,6,6,5,5,6
392,Physics,What is the unit of resistance in an electric circuit?,Ohm,Ampere,Volt,Watt,6,6,5,5,6
2338,Biology,What is the name of the structure that connects bones to muscles?,Tendon,Ligament,Cartilage,Bone Marrow,6,6,5,5,6
213,Chemistry,What is the name for the measure of the amount of matter in an object?,Mass,Weight,Density,Volume,6,6,5,5,6
2321,Chemistry,Which of the following is a strong acid?,Hydrochloric acid,Vinegar,Lemon juice,Baking soda,6,6,5,5,6
2774,Astronomy,"Which planet is nicknamed the ""Red Planet""?",Mars,Venus,Jupiter,Saturn,6,6,5,5,6
1251,Earth Science,What is the name of the supercontinent that existed millions of years ago?,Pangaea,Laurasia,Gondwana,Eurasia,6,6,5,5,6
1071,Physics,What is the definition of momentum?,Mass times velocity,Force times velocity,Displacement over time,Energy in a given direction,6,6,5,5,6
123,Zoology,What is the name for the study of fish?,Ichthyology,Herpetology,Ornithology,Entomology,6,6,5,5,6
3170,Physics,Which of the following is a measure of how much force is applied per unit area?,Pressure,Temperature,Volume,Density,6,6,5,5,6
2264,Biology,Which system in the body is responsible for removing waste and excess water?,Urinary,Circulatory,Respiratory,Nervous,6,6,5,5,6
2363,Chemistry,What type of reaction is the burning of gasoline in an engine?,Combustion,Synthesis,Decomposition,Single replacement,6,6,5,5,6
1925,Astronomy,What is the name of the brightest star in the night sky?,Sirius,Canopus,Vega,Betelgeuse,6,6,5,5,6
1000,Chemistry,What is the state of matter in which the molecules have the most energy?,Plasma,Gas,Liquid,Solid,6,6,5,5,6
1408,Biology,What is the function of the vacuole?,Storage,Energy production,To synthesize proteins,To store DNA,6,6,5,5,6
3041,Chemistry,What is the process by which a solid turns into a gas without going through the liquid phase?,Sublimation,Vaporization,Deposition,Condensation,6,6,5,5,6
1234,Chemistry,Which gas is known as laughing gas?,Nitrous Oxide,Carbon Dioxide,Hydrogen,Oxygen,6,6,5,5,6
223,Biology,Which of these is not a macromolecule?,Lipid,Acid,Protein,Carbohydrate,6,6,5,5,6
1103,Chemistry,What is the process of a solid changing directly to a gas called?,Sublimation,Evaporation,Condensation,Melting,6,6,5,5,6
2341,Chemistry,What is the name of the particle that carries a positive charge?,Proton,Electron,Neutron,Photon,6,6,5,5,6
1253,Biology,Which of the following is not a component of DNA?,Lipid,Phosphate,Deoxyribose,Nitrogenous Base,6,6,5,5,6
1959,Geology,What type of rock is formed from the weathering and erosion of other rocks?,Sedimentary,Igneous,Metamorphic,None of the above,6,6,5,5,6
2925,Biology,What is the name for the process by which a virus enters a host cell and takes over the cell's machinery to reproduce?,viral infection,lytic infection,lysogenic infection,transduction,6,6,5,5,6
592,Biology,What is the process by which cells convert food into usable energy?,Cellular respiration,Fermentation,Anaerobic respiration,Photosynthesis,6,6,5,5,6
914,Chemistry,What is the formula for calculating pH?,-log[H+],-log[OH-],[H+]/[OH-],[OH-]/[H+],6,6,5,5,6
822,Chemistry,What is the chemical formula for calcium carbonate?,CaCO3,CO2,NaCl,H2O,6,6,5,5,6
