Index,Question,Answer,Distractor1,Distractor2,Distractor3,Correctness,Difficulty,Clarity,Distractor Relevance
2269,"What kind of process occurs naturally under certain conditions, unlike its opposite, which will not take place unless it is “driven” by the continual input of energy from an external source?",spontaneous process,controlled process,noticeable process,activation process,7,6,5,7
2725,What type of light can mosquitoes see?,infared,trichina,neon,spicule,7,6,5,7
583,Wave cut platforms are level areas formed by what?,wave erosion,shock erosion,surge erosion,glaciers,7,6,5,7
2265,Minerals form when they precipitate from hot fluids that have done what?,cooled down,heated up,dried out,accelerated down,7,6,5,7
3733,Community interactions are important factors in what?,natural selection,natural process,natural change,natural resources,7,6,5,7
6960,Motor neurons and sensory neurons are part of what nervous system?,sensory-somatic,peripheral,central,autonomic,7,6,5,7
10287,Where do streams often start?,mountains,valleys,oceans,plains,7,6,5,7
5446,About one-third of the human cerebral cortex is dedicated to analyzing and perceiving information related to what sense?,vision,hearing,touch,taste,7,6,5,7
282,What is the official name for the study of life?,biology,chemistry,geology,botany,7,6,5,7
3126,"What are organisms called, like the red-winged blackbird, that eat many different types of food?",generalists,omniverous,specalist,carniverous,7,6,5,7
8336,What is the term for the distance between two corresponding points on adjacent waves?,wavelength,arc wave,variation,bandwidth,7,6,5,7
416,What atmospheric layer lies above the highest altitude an airplane can go and below the lowest altitude a spacecraft can orbit?,mesosphere,stratosphere,troposphere,thermosphere,7,6,5,7
545,What is the three-dimensional structure of a single polypeptide called?,tertiary structure,immature Structure,Cysteine structure,immature structure,7,6,5,7
6040,What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,nucleus,vacuole,ribosome,epidermis,7,6,5,7
7807,What color is neptune?,blue,yellow,pink,white,7,6,5,7
1185,Sex-linked traits are located on genes on what chromosomes?,sex,reactive,neural,dna,7,6,5,7
1953,What do the muscles of the gastrointestinal tract do?,keep food moving,break down food,secrete stomach acid,stop digestion,7,6,5,7
836,What type of cells detect stimuli?,sensory nerve cells,expressive nerve cells,grid nerve cells,muscle cells,7,6,5,7
285,What is the usual treatment for acute bronchitis?,antibiotics,surgery,physical therapy,pesticides,7,6,5,7
39,Most fungi get organic compounds from what?,dead organisms,inorganic material,living organisms,carnivorous organisms,7,6,5,7
6974,Different isotopes of an element have different mass numbers because they have different numbers of what?,neutrons,protons,electrons,nuclei,7,6,5,7
11169,"What do you call scientists that study the weather, specifically?",meteorologists,hydrologists,forecasters,geologists,7,6,5,7
9358,Light from objects at different distances is focused by what part of the eye?,lens,iris,pupil,meniscus,7,6,5,7
452,What is the female reproductive structure of a flower?,the pistil,the stamen,the seed,the flower,7,6,5,7
10960,Which  type of cell division halves the number of chromosomes?,meiosis,fragmentation,budding,mitosis,7,6,5,7
158,Where does the energy produced by plants come from?,sunlight,groundwater,animals,evaporation,7,6,5,7
401,"Aerobic exercise helps improve the cardiovascular system, while what exercise causes muscles to get bigger and stronger?",anaerobic,endurance,skeletal,enzymatic,7,6,5,7
629,What is an organic compound that is the primary component of natural gas?,methane,ethanol,magnesium,sulfur,7,6,5,7
6643,Prokaryotes divide via binary fission and do not undergo what process of cell division?,mitosis,prophase,meiosis,fusion,7,6,5,7
9137,When did new plants start sprouting after the forest fire?,two months later,five months later,two weeks later,two days later,7,6,5,7
4850,"What are drumlins, eskers, and kettle lakes formed by?",glaciers,earthquakes,meteors,tsunamis,7,6,5,7
832,What is the developmental process of gastropods called?,torsion,regeneration,modulation,occlusion,7,6,5,7
409,What is usually the most visible part of the flower?,petals,cells,seeds,roots,7,6,5,7
838,"The cultivated forms of wheat, cotton, and tobacco plants are all what?",allopolyploids,pores,sporozoans,bales,7,6,5,7
22,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",dead zones,inhabitable zones,hostile zones,fresh zones,7,6,5,7
4460,What is the term for chordates with a vertebral column and endoskeleton of cartilage and bone?,vertebrate,am,insect,mammel,7,6,5,7
11135,What is the hypothesis that states that the biosphere is its own living organism?,gaia hypothesis,Big Bang theory,Geiger theory,Pascal's hypothesis,7,6,5,7
4635,What process brings nutrients from the ocean's floor to its surface?,upwelling,Down welling,coastal swell,Tides,7,6,5,7
774,The axon is a long extension of the cell body that transmits what to other cells?,nerve impulses,calcium impulses,synthesis impulses,blood impulses,7,6,5,7
1956,"Ingestive protists extend their cell wall and cell membrane around the food item, forming a what?",food vacuole,food pocket,fuel vacuole,protective bubble,7,6,5,7
3130,Latitude affects the amount of which radiation a place receives?,solar,surface,molecular,thermal,7,6,5,7
177,"In physics, when one subtracts the frictional force from the applied force what is the result?",net force,rolled force,quarter force,kinetic force,7,6,5,7
94,What is the division of the cytoplasm in eukaryotic cells?,cytokinesis,electrolysis,andronisis,metamorphosis,7,6,5,7
6786,What is the process of larva becoming an adult called?,metamorphosis,parthenogenesis,synthesis,evolution,7,6,5,7
11425,What is the minimum number of times a partial lunar eclipse will occur each year?,two,six,11,five,7,6,5,7
208,What does the term decay in chemistry refer to with regards to atoms?,changes in nuclei,pressures in nuclei,destruction of nuclei,separation of nuclei,7,6,5,7
2253,Deep water filling a void caused by surface winds blowing water north and south is known as?,upwelling,downwelling,surface current,divergence,7,6,5,7
6285,What do winter storms develop from at higher latitudes?,cyclones,humidity,clouds,temperatures,7,6,5,7
5040,What is the study of rock strata called?,stratigraphy,biochemistry,chemistry,biology,7,6,5,7
11657,What is the term for tough protein fibers that connects bones to each other?,ligaments,tetons,cords,muscles,7,6,5,7
314,What term describes how closely packed the particles of matter are?,density,range,mass,space,7,6,5,7
1471,Atoms of one element can be transformed into another through which process?,nuclear reactions,magnetic reactions,longer reactions,developed reactions,7,6,5,7
470,"When explosion of gases creates pressure resulting in motion of a rocket, the force pushing the rocket is called what?",thrust,friction,stasis,temperature,7,6,5,7
10229,What is the term for the visible part of the electromagnetic spectrum?,light,chroma,gravity,electricity,7,6,5,7
11411,"What occurs during the new moon and full moon, due to gravitational pull?",spring tides,spring waves,spring floods,spring storms,7,6,5,7
6135,How many limbs to birds have?,four,five,six,ten,7,6,5,7
7128,"When gametes unite during fertilization, the resulting zygote inherits two of what for each gene, one from each parent?",alleles,chromosomes,genomes,molecules,7,6,5,7
9311,What is created when the wave source moves faster than the wave propagation speed?,bow wake,loop wake,piece wake,superceding wake,7,6,5,7
1009,What happens to charges whenever they are accelerated?,they radiate,they fuse,they darken,they die,7,6,5,7
7178,Electrical energy consumed can be expressed as the product of power multiplied by what else?,time,work,energy,speed,7,6,5,7
17,What occurs when the immune system attacks a harmless substance that enters the body from the outside?,allergy,panic attack,nausea,plague,7,6,5,7
201,The noble gases are unreactive because of their?,electron configurations,cell configurations,proton configurations,carbon content,7,6,5,7
8697,How many membranes form the mitochondrion structure of a cell?,two,one,five,three,7,6,5,7
3390,"Frogs and toads, salamanders and newts, and caecilians are the three orders of what group of animals?",amphibians,marsupials,reptiles,mammals,7,6,5,7
52,During what part of a person's development are they generally at their physical peak?,early adulthood,late adulthood,infancy,senility,7,6,5,7
5315,Why are atoms of metals good conductors of electricity?,give up electrons,break into smaller parts,conserve heat,hold on to electrons,7,6,5,7
2799,Body waves travel through the earth and arrive at seismograms before what?,surface waves,sound waves,velocity waves,function waves,7,6,5,7
